,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
1,1891,GEG,HM,HL,,1," I. R. A spelin, Staats-Archäolog in Hel-singfors (1887) 
"
2,1891,GEG,HM,HL,,2," Dr. August Bielenstein, Pastor in Doblxn (1887) 
"
3,1891,GEG,HM,HL,,3," Nikolai Freiherr v. Boguschewski in Ples-kau (1879) 
"
4,1891,GEG,HM,HL,,4," Landrath Arved v. B r a s ch aus Ropkoi (1888) 
"
5,1891,GEG,HM,HL,,5," Woldemar Graf von dem Broel-Plater auf Dombrowitza in Wolhynien (1876) 
"
6,1891,GEG,HM,HL,,6," Theodor Baron Bühler, Geheimrath, Direc-tor des Haupt-Staatsarchivs des Ministeriums der auswärtigen Angelegenheiten in Moskau (1875) 
"
7,1891,GEG,HM,HL,,7," A. F. Bytschkow, Geheimrath, Vice-Präsi-dent der Kaiserl. Archäologischen Gesellschaft in St. Petersburg (1887) 
"
8,1891,GEG,HM,HL,,8," Dr. Jakob Hurt, Pastor in St. Petersburg (1887) 
"
9,1891,GEG,HM,HL,,9," Paul Jordan, Secretär des statistischen Bu-reaus in Reval (1887) 
"
10,1891,GEG,HM,HL,,10," Michael Kapustin, Geheimrath, Curator des St. Petersburger Lehrbezirks (1883) 
"
11,1891,GEG,HM,HL,,11," E. Kunik, Akademiker in St. Petersburg (1860) 
"
12,1891,GEG,HM,HL,,12," Carl Malm, Propst zu Rappel in Estland (1887) 
"
13,1891,GEG,HM,HL,,13," Dj. Georg Alexander, Herzog zu Meck-lenburg-Strelitz, in St. Petersburg (1883) 
"
14,1891,GEG,HM,HL,,14," Dr. Friedrich Baron Meyend orfs, Livlän-discher Landmarschall (1887) 
"
15,1891,GEG,HM,HL,,15," Rudolph v. Raison, Pastor einer., zu Lassen in Kurland (1887) 
"
16,1891,GEG,HM,HL,,16," I. Sabj elin, Director des Mosk. Museums (1887) 
"
17,1891,GEG,HM,HL,,17," Andrei Alexandrowitsch Ssaburow, Staats-secretär und Senateur in St. Petersburg (1876) 
"
18,1891,GEG,HM,HL,,18," Alexander Baron Sta ckelberg, Senateur (1881) 
"
19,1891,GEG,HM,HL,,19," Iwan Graf T o l st o i in St. Petersburg (1882) 
"
20,1891,GEG,HM,HL,,20," Gräfin Prasskowja Uw arow, Präsidentin der Moskauer Archäologischen Gesellschaft (1887). 
"
21,1891,GEG,HM,AB,,21," Dr. Joseph Budenz, Professor in Budapest (1887) 
"
22,1891,GEG,HM,AB,,22," Dr. Friedrich Georg v. Bunge, Wirkl. Staats-rath, in Wiesbaden (1861) 
"
23,1891,GEG,HM,AB,,23," Hermann Dannenberg, Landgerichtsrath in Berlin (1887) 
"
24,1891,GEG,HM,AB,,24," Dr. Georg Loeschcke, Professor in Bonn (1889) 
"
25,1891,GEG,HM,AB,,25," Dr. Karl S ch irren, Professor in Kiel (1869) 
"
26,1891,GEG,HM,AB,,26," Dr. Ludwig ©tiefeet, Prof. in Königsberg (1885) 
"
27,1891,GEG,HM,AB,,27," Dr. Wilhelm Thomfen, Prof. in Kopenha-gen (1887) 
"
28,1891,GEG,HM,AB,,28," Dr. Max Toeppen, Gymnasial-Director in Elbing (1887) 
"
29,1891,GEG,HM,AB,,29," Dr. Eduard Winkelmann, Professor der Geschichte in Heidelberg (1869). 
"
30,1891,GEG,CM,HL,,1," Friedrich Amelung, Fabrikbesitzer in Katha-rina-Lisette bei Woisek (1887) 
"
31,1891,GEG,CM,HL,,2," G. v. Blanckenhag en auf Weißenstein bei Wenden (1889) 
"
32,1891,GEG,CM,HL,,3," Frau v. Blanckenhagen, geb. Baronesse Maydell, zu Allasch (1889) 
"
33,1891,GEG,CM,HL,,4," Dr. Emil Br etschneider, früher Gesandt-schastsarzt in Peking, jetzt in St. Petersburg (1876) 
"
34,1891,GEG,CM,HL,,5," Baron Hermann v. B ruini n g k, IM. Ritter-schasts-Secretär in Riga (1887) 
"
35,1891,GEG,CM,HL,,6," Dr. med. Max. Buch in Helsingsors (1882) 
"
36,1891,GEG,CM,HL,,7," Julius Doering, Portraitmaler in Mitau (1887) 
"
37,1891,GEG,CM,HL,,8," E. Dolbe sch ew, Oberlehrer in Wladikaw-kas (1885) 
"
38,1891,GEG,CM,HL,,9," Dr. O. Donner, Professor der vergl. Sprach-Wissenschaft in Helsingsors (1865) 
"
39,1891,GEG,CM,HL,,10," Dr. Otto Duhmberg, Staatsrath in Dor-pat (1859) 
"
40,1891,GEG,CM,HL,,11," Dr. Wladislaw Dybowsky iu Minsk (1879) 
"
41,1891,GEG,CM,HL,,12," Heinrich G ernhardt zu Neu-Camby (1886) 
"
42,1891,GEG,CM,HL,,13," Konrad v. Gersdorff auf Hochrosen (1889) 
"
43,1891,GEG,CM,HL,,14," Christian Giel, Numismatiker in St. Peters-bürg (1886) 
"
44,1891,GEG,CM,HL,,15," Dr. Woldemar v. Gut zeit in Riga (1883) 
"
45,1891,GEG,CM,HL,,16," Dr. Reinhold Hausen in Helsingsors (1883) 
"
46,1891,GEG,CM,HL,,17," Dr. A. O. Heikel in Helsingsors (1887) 
"
47,1891,GEG,CM,HL,,18," W. Ilowaiski, Professor in Moskau (1881) 
"
48,1891,GEG,CM,HL,,19," I. Jung, Lehrer in Abia (1879) 
"
49,1891,GEG,CM,HL,,20," Th. Iversen, Oberlehrer in St. Petersburg (1875) 
"
50,1891,GEG,CM,HL,,21," Dr. med. Leo Jwanowski in St. Peters-bürg (1883) 
"
51,1891,GEG,CM,HL,,22," Mag. Edwin Johannson in Riga (1883) 
"
52,1891,GEG,CM,HL,,23," Martin Körb er, emer. Pastor in Arensburg. (1862) 
"
53,1891,GEG,CM,HL,,24," Konstantin Mettig, Oberlehrer in Riga (1887) 
"
54,1891,GEG,CM,HL,,25," Johann Mielberg, Director des meteorol. Observatoriums in Tiflis (1865) 
"
55,1891,GEG,CM,HL,,26," Dr. W. Miller, Professor in Moskau (1881) 
"
56,1891,GEG,CM,HL,,27," W. Neu mann, Stadt-Baumeister in Düna-bürg (1890) 
"
57,1891,GEG,CM,HL,,28," Eugen V. N o t t b e c k ,  S t . - R . ,  i n  R e v a l  ( 1 8 8 7 )  
"
58,1891,GEG,CM,HL,,29," Dr. Valerian Podwissotzki, Professor der Pharmakologie in Kasan (1885j 
"
59,1891,GEG,CM,HL,,30," Dr. Radlof f, Akademiker in St. Petersburg (1860) 
"
60,1891,GEG,CM,HL,,31," Frau Emilie v. Rück er zu Unnipicht (1889) 
"
61,1891,GEG,CM,HL,,32," Dr. med. Johannes Sachssend ahl bei Tiflis (1887) 
"
62,1891,GEG,CM,HL,,33," Dr. Emil Setälä, Docent in Helsingsors (1891) 
"
63,1891,GEG,CM,HL,,34," Carl v. Seidlitz, Besitzer von Waetz (1890) 
"
64,1891,GEG,CM,HL,,35," Mag. Nikolai v. Seidlitz in Tiflis (1879) 
"
65,1891,GEG,CM,HL,,36," O. v. Seidlitz, Besitzer von Meyershof (1887) 
"
66,1891,GEG,CM,HL,,37," Dr. Friedrich Schmidt, Akademiker in St. Petersburg (1859) 
"
67,1891,GEG,CM,HL,,38," E. v. Sivers zu Autzeem (1889) 
"
68,1891,GEG,CM,HL,,39," Baron Wold. Tie senh ausen in St. Pe-tersburg (1883) 
"
69,1891,GEG,CM,HL,,40," Baron Harald Toll, Rittersch.-Secretär in val (1887) 
"
70,1891,GEG,CM,HL,,41," Emil Vielrose, Kaufmann in Wöbs (1878) 
"
71,1891,GEG,CM,HL,,42," Mag. Wassiljew, Akademiker in St. Pe-tersburg (1879) 
"
72,1891,GEG,CM,HL,,43," Nikolai Waldmann in Türsel bei Silla-mäggi (1886) 
"
73,1891,GEG,CM,HL,,44," H .  W ü h t t e r  i n  K e r i m o i s  ( 1 8 6 3 )  
"
74,1891,GEG,CM,AB,,45," Dr. Julius Altmann in Berlin (1857) 
"
75,1891,GEG,CM,AB,,46," Dr. Adalbert Bezzenberger, Professor in Königsberg i. Pr. (1882) 
"
76,1891,GEG,CM,AB,,47," Dr. phiL Friedrich Bienemann, Redacteur in Leipzig (1865) 
"
77,1891,GEG,CM,AB,,48," Dr. Alexander Brückner, Prof. emer. in Jena (1891) 
"
78,1891,GEG,CM,AB,,49," Dr. Heinrich Bruns Professor und Director der Sternwarte in Leipzig (1876) 
"
79,1891,GEG,CM,AB,,50," Dr. Sophus Bugge, Prof. an der Universi­tät in Christiania (1876) 
"
80,1891,GEG,CM,AB,,51," Dr. Joseph Girgensohn, früher Oberlehrer in Riga, jetzt in Berlin (1887) 
"
81,1891,GEG,CM,AB,,52," Dr. Arthur Hazelius, Director des nordischen Museums in Stockholm (1883) 
"
82,1891,GEG,CM,AB,,53," Carl G. Hernmarck, Reichsgerichtsrath in Stockholm (Nybrogatan) (1859) 
"
83,1891,GEG,CM,AB,,54," Dr. Konstantin Höhlb aum, Professor in Gießen (1887) 
"
84,1891,GEG,CM,AB,,55," Cand. Ernst Kluge in Berlin (1865) 
"
85,1891,GEG,CM,AB,,56," Dr. Carl Koppmann, Archivar in Rostock (1876) 
"
86,1891,GEG,CM,AB,,57," Dr. August Leskien, Professor in Leipzig (1874) 
"
87,1891,GEG,CM,AB,,58," Dr. Wilhelm Lexis, Professor in Göttingen (1876) 
"
88,1891,GEG,CM,AB,,59," Dr. Carl Lohmeyer, Professor in Königs­berg (1862) 
"
89,1891,GEG,CM,AB,,60," Dr. Edgar Loening, Professor in Halle a. S. (1883) 
"
90,1891,GEG,CM,AB,,61," Dr. Wilhelm Maurenbrecher, Prof. in Leipzig (1874) li 
"
91,1891,GEG,CM,AB,,62," Frl. Julie Mestors, Conservator des Mu-seums in Kiel (1881) 
"
92,1891,GEG,CM,AB,,63," Dr. Oskar Montelius, Conservator am Reichs-Museum in Stockholm (1876) 
"
93,1891,GEG,CM,AB,,64," Dr. Friedrich Müller, Prof. in Wien (1884) 
"
94,1891,GEG,CM,AB,,65," Dr. Theodor Nöldeke, Professor in Straß-bürg (1870) 
"
